Block,Rep,Date,short_name_flavo,mAU,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B3R3,1,8/15/19,Q3G,2633.6,48,52,7.31,52.78,60
B3R3,2,8/15/19,Q3G,2752.8,48,50,6.61,52.95,60
B3R3,3,8/15/19,Q3G,2692.2,48,50,6.21,52.85,60
B1R2,1,8/20/19,Q3G,2136.3,64,51,8.07,69.82,60
B1R2,2,8/20/19,Q3G,2330.2,64,51.5,8.92,69.55,60
B1R2,3,8/20/19,Q3G,2322.3,64,51.5,7.41,69.71,60
B1R3,1,8/20/19,Q3G,1908,45,50.5,5.78,49.24,60
B1R3,2,8/20/19,Q3G,2174.3,45,52.5,5.58,49.26,60
B1R3,3,8/20/19,Q3G,1892.3,45,53,6.35,49.23,60
B1R4,1,8/20/19,Q3G,1816.4,44,52.5,7.02,48.1,60
B1R4,2,8/20/19,Q3G,1576.8,44,58,5.85,47.95,60
B1R4,3,8/20/19,Q3G,1750.3,44,50.5,6.55,47.79,60
B2R1,1,8/20/19,Q3G,2639.9,59,52,7.33,64.78,60
B2R1,2,8/20/19,Q3G,2616.3,59,55.5,9.18,65.09,60
B2R1,3,8/20/19,Q3G,2547.8,59,51,8.31,65.02,60
B2R2,1,8/20/19,Q3G,2617.4,59,51.5,9.69,64.57,60
B2R2,2,8/20/19,Q3G,2660.4,58,50.5,8.69,64.03,60
B2R2,3,8/20/19,Q3G,2202.6,59,52,7.37,64.48,60
B2R3,1,8/20/19,Q3G,2220.6,52,52.5,7.74,57.54,60
B2R3,2,8/20/19,Q3G,2207.7,52,52,7.67,57.29,60
B2R3,3,8/20/19,Q3G,2419.4,52,50.5,6.23,57.14,60
B3R1,1,8/20/19,Q3G,1912.5,52,52,8.68,57.45,60
B3R1,2,8/20/19,Q3G,1891.7,52,55.5,8.47,57.16,60
B3R1,3,8/20/19,Q3G,2446.7,52,51,9.02,57.34,60
B3R2,1,8/20/19,Q3G,2933.2,56,52.5,6.99,61.17,60
B3R2,2,8/20/19,Q3G,2262.5,56,54,6.19,61,60
B3R2,3,8/20/19,Q3G,2515.2,56,54.5,7.97,61.05,60
B3R3,1,8/20/19,Q3G,2090.2,49,53,6.92,54.38,60
B3R3,2,8/20/19,Q3G,2523,49,51.5,6.89,54.31,60
B3R3,3,8/20/19,Q3G,2448.5,50,53.5,7.3,54.5,60
B1R2,1,9/3/19,Q3G,3294.7,66,51,9.76,73.14,60
B1R2,2,9/3/19,Q3G,3387.9,67,50,7.91,73.97,60
B1R2,3,9/3/19,Q3G,2604.1,67,52,9.47,73.34,60
B1R3,1,9/3/19,Q3G,2004.5,49,55,7.58,54.86,60
B1R3,2,9/3/19,Q3G,2642.3,49,52,6.73,54.64,60
B1R3,3,9/3/09,Q3G,NA,,,,,
B1R4,1,9/3/19,Q3G,2070.9,47,51.5,6.09,52.9,60
B1R4,2,9/3/19,Q3G,1872.2,47,50.5,5.8,52.58,60
B1R4,3,9/3/19,Q3G,2084.7,47,52,8.66,52.04,60
B2R1,1,9/3/19,Q3G,4128.1,62,51,10.66,69.09,60
B2R1,2,9/3/19,Q3G,2284.3,62,52.5,9.33,69.1,60
B2R1,3,9/3/19,Q3G,2804.8,62,53.5,10.6,69.07,60
B2R2,1,9/3/19,Q3G,2660.7,60,55,10.5,67.11,60
B2R2,2,9/3/19,Q3G,2472.8,60,58,11.08,67.33,60
B2R2,3,9/3/19,Q3G,3445.6,60,53,10.78,67.23,60
B2R3,1,9/3/19,Q3G,2938.7,54,50.5,9.45,60.4,60
B2R3,2,9/3/19,Q3G,2670.7,54,51,9.83,60.1,60
B2R3,3,9/3/19,Q3G,3018.1,54,50,8.16,60.11,60
B3R1,1,9/3/19,Q3G,2760.2,54,52.5,9.59,59.93,60
B3R1,2,9/3/19,Q3G,3226.7,54,50.5,9.21,59.81,60
B3R1,3,9/3/19,Q3G,2846.4,54,52,9.45,59.06,60
B3R2,1,9/3/19,Q3G,3432.9,54,52,9.23,61.06,60
B3R2,2,9/3/19,Q3G,3709.5,54,50,9.73,60.77,60
B3R2,3,9/3/19,Q3G,3126.8,54,51,9.12,60.82,60
B3R3,1,9/3/19,Q3G,3074,52,51,8.77,57.2,60
B3R3,2,9/3/19,Q3G,3358.5,52,52.5,10.8,56.84,60
B3R3,3,9/3/19,Q3G,3068.5,52,52,9.59,57.13,60
B1R2,1,9/12/19,Q3G,3261.4,69,54.5,10.67,75.33,60
B1R2,2,9/12/19,Q3G,2551.5,69,57,11.24,75.67,60
B1R2,3,9/12/19,Q3G,3264.6,69,51.5,10.58,75.98,60
B1R3,1,9/12/19,Q3G,2256.9,47,52,8.71,52.66,60
B1R3,2,9/12/19,Q3G,1769.5,47,57,8.71,52.89,60
B1R3,3,9/12/19,Q3G,1764.6,47,57,8.76,52.14,60
B1R4,1,9/12/19,Q3G,2554.9,47,53,8.05,51.76,60
B1R4,2,9/12/19,Q3G,2327.4,47,52,7.04,51.59,60
B1R4,3,9/12/19,Q3G,2551.1,47,54.5,8.19,51.77,60
B2R1,1,9/19/19,Q3G,2957,60,50.5,9.79,67.05,60
B2R1,2,9/19/19,Q3G,3115.9,60,53.5,10.54,67.21,60
B2R1,3,9/19/19,Q3G,3231.8,61,50.5,10.56,67.11,60
B2R2,1,9/19/19,Q3G,3144.5,58,51,10.42,64.16,60
B2R2,2,9/19/19,Q3G,3374.4,58,53,10.23,64.18,60
B2R2,3,9/19/19,Q3G,3090.3,58,54.5,10.71,64.23,60
B2R3,1,9/19/19,Q3G,2995.8,52,53.5,7.54,57.23,60
B2R3,2,9/19/19,Q3G,2467.7,52,59,7.01,56.82,60
B2R3,3,9/19/19,Q3G,2237.1,52,54,7.31,57.06,60
B3R1,1,9/19/19,Q3G,2540.1,56,57.5,8.93,62.67,60
B3R1,2,9/19/19,Q3G,2601.9,56,55.5,9.59,62.56,60
B3R1,3,9/19/19,Q3G,2478.5,56,52.5,8.9,62.95,60
B3R2,1,9/19/19,Q3G,3010,55,56.5,9.17,61.52,60
B3R2,2,9/19/19,Q3G,3438.5,55,52.5,9.66,61.82,60
B3R2,3,9/19/19,Q3G,2574.7,55,59,8.45,61.45,60
B3R3,1,9/19/19,Q3G,2711.4,54,54,8.69,60.68,60
B3R3,2,9/19/19,Q3G,3590.7,54,51,8.82,60.48,60
B3R3,3,9/19/19,Q3G,3066.7,54,54,8.45,60.31,60
B1R2,1,8/8/19,K3G,104.3,56,55.5,6.57,60.8,60
B1R2,2,8/8/19,K3G,85.2,56,54.5,6.69,60.8,60
B1R2,3,8/8/19,K3G,59.7,56,55,5.95,60.5,60
B1R3,1,8/8/19,K3G,78.1,34,52.5,4.94,42,60
B1R3,2,8/8/19,K3G,73.2,34,53,5.25,42,60
B1R3,3,8/8/19,K3G,72.5,34,54.5,5.1,42.3,60
B1R4,1,8/8/19,K3G,117.9,36,51.5,5.8,44.8,60
B1R4,2,8/8/19,K3G,100.9,36,50,5.66,44.7,60
B1R4,3,8/8/19,K3G,104.9,36,54,6.27,45,60
B2R1,1,8/8/19,K3G,133.4,50,50,6.32,54.9,60
B2R1,2,8/8/19,K3G,51.5,50,53,5.99,54.9,60
B2R1,3,8/8/19,K3G,46.2,50,52,5.92,55.1,60
B2R2,1,8/8/19,K3G,144.3,54,52.5,6.6,59.6,60
B2R2,2,8/8/19,K3G,143.4,54,52,7.08,59.2,60
B2R2,3,8/8/19,K3G,102,54,54,6.92,59.3,60
B2R3,1,8/8/19,K3G,78.9,44,52,5.74,47,60
B2R3,2,8/8/19,K3G,56.9,44,51,5.77,47,60
B2R3,3,8/8/19,K3G,55.8,44,51.5,6.3,46.9,60
B3R1,1,8/8/19,K3G,110.6,48,57,6.38,51.9,60
B3R1,2,8/8/19,K3G,128,48,56,6.52,51.9,60
B3R1,3,8/8/19,K3G,93.9,48,57,5.99,51.9,60
B3R2,1,8/8/19,K3G,160.8,44,56,6.03,49.4,60
B3R2,2,8/8/19,K3G,107.3,44,52.5,5.42,49.4,60
B3R2,3,8/8/19,K3G,128.4,45,54,6.38,49.7,60
B3R3,1,8/8/19,K3G,110,46,52.5,6.39,51.1,60
B3R3,2,8/8/19,K3G,121.7,46,53.5,6.05,51.4,60
B3R3,3,8/8/19,K3G,104.7,46,54,6.25,51.3,60
B1R2,1,8/15/19,K3G,146.1,62,53,8.27,67.75,60
B1R2,2,8/15/19,K3G,186.2,62,51,8.22,67.69,60
B1R2,3,8/15/19,K3G,160.7,62,53.5,7.73,67.53,60
B1R3,1,8/15/19,K3G,153.8,46,51.5,5.89,50.8,60
B1R3,2,8/15/19,K3G,89.4,46,50,5.83,50.69,60
B1R3,3,8/15/19,K3G,146.8,46,50.91,5.53,50.91,60
B1R4,1,8/15/19,K3G,140,44,53,6.44,49.34,60
B1R4,2,8/15/19,K3G,174.8,45,53,5.64,49.45,60
B1R4,3,8/15/19,K3G,159.5,44,51,4.67,49.23,60
B2R1,1,8/15/19,K3G,99.3,55,52,6.17,59.84,60
B2R1,2,8/15/19,K3G,123.5,55,54,6.91,59.99,60
B2R1,3,8/15/19,K3G,110.4,55,51,6.58,59.87,60
B2R2,1,8/15/19,K3G,213.7,59,49.5,6.98,65.26,60
B2R2,2,8/15/19,K3G,209.3,59,53,7.93,65.03,60
B2R2,3,8/15/19,K3G,245.1,59,51,7.75,65.07,60
B2R3,1,8/15/19,K3G,141.6,48,49,6.39,52.96,60
B2R3,2,8/15/19,K3G,101.6,48,52,6,53.1,60
B2R3,3,8/15/19,K3G,108.6,48,51,6.23,53.24,60
B3R1,1,8/15/19,K3G,182.4,54,51.5,6.38,58.98,60
B3R1,2,8/15/19,K3G,170,54,51,8.56,59.2,60
B3R1,3,8/15/19,K3G,189.4,54,51.5,6.22,59.22,60
B3R2,1,8/15/19,K3G,118.1,50,50.5,5.15,54.25,60
B3R2,2,8/15/19,K3G,92.4,50,55,6.95,54.51,60
B3R2,3,8/15/19,K3G,150.1,50,50.5,5.41,54.1,60
B3R3,1,8/15/19,K3G,137.2,48,52,7.31,52.78,60
B3R3,2,8/15/19,K3G,196.2,48,50,6.61,52.95,60
B3R3,3,8/15/19,K3G,174,48,50,6.21,52.85,60
B1R2,1,8/20/19,K3G,123.8,64,51,8.07,69.82,60
B1R2,2,8/20/19,K3G,131.3,64,51.5,8.92,69.55,60
B1R2,3,8/20/19,K3G,142.1,64,51.5,7.41,69.71,60
B1R3,1,8/20/19,K3G,80.9,45,50.5,5.78,49.24,60
B1R3,2,8/20/19,K3G,110,45,52.5,5.58,49.26,60
B1R3,3,8/20/19,K3G,103.6,45,53,6.35,49.23,60
B1R4,1,8/20/19,K3G,87.7,44,52.5,7.02,48.1,60
B1R4,2,8/20/19,K3G,93.5,44,58,5.85,47.95,60
B1R4,3,8/20/19,K3G,95,44,50.5,6.55,47.79,60
B2R1,1,8/20/19,K3G,154.9,59,52,7.33,64.78,60
B2R1,2,8/20/19,K3G,146.2,59,55.5,9.18,65.09,60
B2R1,3,8/20/19,K3G,148.1,59,51,8.31,65.02,60
B2R2,1,8/20/19,K3G,176.8,59,51.5,9.69,64.57,60
B2R2,2,8/20/19,K3G,172.5,58,50.5,8.69,64.03,60
B2R2,3,8/20/19,K3G,150,59,52,7.37,64.48,60
B2R3,1,8/20/19,K3G,113.1,52,52.5,7.74,57.54,60
B2R3,2,8/20/19,K3G,117.1,52,52,7.67,57.29,60
B2R3,3,8/20/19,K3G,135.7,52,50.5,6.23,57.14,60
B3R1,1,8/20/19,K3G,113.9,52,52,8.68,57.45,60
B3R1,2,8/20/19,K3G,102.9,52,55.5,8.47,57.16,60
B3R1,3,8/20/19,K3G,147.5,52,51,9.02,57.34,60
B3R2,1,8/20/19,K3G,207.6,56,52.5,6.99,61.17,60
B3R2,2,8/20/19,K3G,159.9,56,54,6.19,61,60
B3R2,3,8/20/19,K3G,188.8,56,54.5,7.97,61.05,60
B3R3,1,8/20/19,K3G,103.5,49,53,6.92,54.38,60
B3R3,2,8/20/19,K3G,143,49,51.5,6.89,54.31,60
B3R3,3,8/20/19,K3G,143.7,50,53.5,7.3,54.5,60
B1R2,1,9/3/19,K3G,292.1,66,51,9.76,73.14,60
B1R2,2,9/3/19,K3G,320.5,67,50,7.91,73.97,60
B1R2,3,9/3/19,K3G,233.5,67,52,9.47,73.34,60
B1R3,1,9/3/19,K3G,129.7,49,55,7.58,54.86,60
B1R3,2,9/3/19,K3G,205.1,49,52,6.73,54.64,60
B1R3,3,9/3/09,K3G,NA,,,,,
B1R4,1,9/3/19,K3G,151.9,47,51.5,6.09,52.9,60
B1R4,2,9/3/19,K3G,123.8,47,50.5,5.8,52.58,60
B1R4,3,9/3/19,K3G,174.7,47,52,8.66,52.04,60
B2R1,1,9/3/19,K3G,326.2,62,51,10.66,69.09,60
B2R1,2,9/3/19,K3G,176.6,62,52.5,9.33,69.1,60
B2R1,3,9/3/19,K3G,199.1,62,53.5,10.6,69.07,60
B2R2,1,9/3/19,K3G,288.7,60,55,10.5,67.11,60
B2R2,2,9/3/19,K3G,249.2,60,58,11.08,67.33,60
B2R2,3,9/3/19,K3G,343,60,53,10.78,67.23,60
B2R3,1,9/3/19,K3G,216,54,50.5,9.45,60.4,60
B2R3,2,9/3/19,K3G,212.6,54,51,9.83,60.1,60
