Sample,Rep,Date,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B3R3,1,8/8/2019,600.2,Pet3G,46,52.5,6.39,51.1,60
B3R3,2,8/8/2019,777.1,Pet3G,46,53.5,6.05,51.4,60
B3R3,3,8/8/2019,878.6,Pet3G,46,54,6.25,51.3,60
B1R2,1,8/15/2019,1046,Pet3G,62,53,8.27,67.75,60
B1R2,2,8/15/2019,1372.3,Pet3G,62,51,8.22,67.69,60
B1R2,3,8/15/2019,1048,Pet3G,62,53.5,7.73,67.53,60
B1R3,1,8/15/2019,1555.6,Pet3G,46,51.5,5.89,50.8,60
B1R3,2,8/15/2019,1452.5,Pet3G,46,50,5.83,50.69,60
B1R3,3,8/15/2019,1447.9,Pet3G,46,50.91,5.53,50.91,60
B1R4,1,8/15/2019,1281.5,Pet3G,44,53,6.44,49.34,60
B1R4,2,8/15/2019,1129.3,Pet3G,45,53,5.64,49.45,60
B1R4,3,8/15/2019,1166.6,Pet3G,44,51,4.67,49.23,60
B2R1,1,8/15/2019,1467.8,Pet3G,55,52,6.17,59.84,60
B2R1,2,8/15/2019,1203.1,Pet3G,55,54,6.91,59.99,60
B2R1,3,8/15/2019,1387.4,Pet3G,55,51,6.58,59.87,60
B2R2,1,8/15/2019,1854.4,Pet3G,59,49.5,6.98,65.26,60
B2R2,2,8/15/2019,1524.9,Pet3G,59,53,7.93,65.03,60
B2R2,3,8/15/2019,1891.2,Pet3G,59,51,7.75,65.07,60
B2R3,1,8/15/2019,1132.2,Pet3G,48,49,6.39,52.96,60
B2R3,2,8/15/2019,843.3,Pet3G,48,52,6,53.1,60
B2R3,3,8/15/2019,1044.6,Pet3G,48,51,6.23,53.24,60
B3R1,1,8/15/2019,1228.2,Pet3G,54,51.5,6.38,58.98,60
B3R1,2,8/15/2019,1060.4,Pet3G,54,51,8.56,59.2,60
B3R1,3,8/15/2019,1102.4,Pet3G,54,51.5,6.22,59.22,60
B3R2,1,8/15/2019,1279.8,Pet3G,50,50.5,5.15,54.25,60
B3R2,2,8/15/2019,858.5,Pet3G,50,55,6.95,54.51,60
B3R2,3,8/15/2019,994.6,Pet3G,50,50.5,5.41,54.1,60
B3R3,1,8/15/2019,1121.6,Pet3G,48,52,7.31,52.78,60
B3R3,2,8/15/2019,1289.6,Pet3G,48,50,6.61,52.95,60
B3R3,3,8/15/2019,1197.5,Pet3G,48,50,6.21,52.85,60
B1R2,1,8/20/2019,1121.4,Pet3G,64,51,8.07,69.82,60
B1R2,2,8/20/2019,1230.5,Pet3G,64,51.5,8.92,69.55,60
B1R2,3,8/20/2019,1063.2,Pet3G,64,51.5,7.41,69.71,60
B1R3,1,8/20/2019,1063.1,Pet3G,45,50.5,5.78,49.24,60
B1R3,2,8/20/2019,1060.4,Pet3G,45,52.5,5.58,49.26,60
B1R3,3,8/20/2019,945.3,Pet3G,45,53,6.35,49.23,60
B1R4,1,8/20/2019,896.4,Pet3G,44,52.5,7.02,48.1,60
B1R4,2,8/20/2019,671.2,Pet3G,44,58,5.85,47.95,60
B1R4,3,8/20/2019,728.2,Pet3G,44,50.5,6.55,47.79,60
B2R1,1,8/20/2019,1511.8,Pet3G,59,52,7.33,64.78,60
B2R1,2,8/20/2019,1399.3,Pet3G,59,55.5,9.18,65.09,60
B2R1,3,8/20/2019,1595.9,Pet3G,59,51,8.31,65.02,60
B2R2,1,8/20/2019,1735.6,Pet3G,59,51.5,9.69,64.57,60
B2R2,2,8/20/2019,1435,Pet3G,58,50.5,8.69,64.03,60
B2R2,3,8/20/2019,1377.1,Pet3G,59,52,7.37,64.48,60
B2R3,1,8/20/2019,963.9,Pet3G,52,52.5,7.74,57.54,60
B2R3,2,8/20/2019,1011.6,Pet3G,52,52,7.67,57.29,60
B2R3,3,8/20/2019,985,Pet3G,52,50.5,6.23,57.14,60
B3R1,1,8/20/2019,955.2,Pet3G,52,52,8.68,57.45,60
B3R1,2,8/20/2019,867.2,Pet3G,52,55.5,8.47,57.16,60
B3R1,3,8/20/2019,979.2,Pet3G,52,51,9.02,57.34,60
B3R2,1,8/20/2019,1145.8,Pet3G,56,52.5,6.99,61.17,60
B3R2,2,8/20/2019,915.6,Pet3G,56,54,6.19,61,60
B3R2,3,8/20/2019,922.4,Pet3G,56,54.5,7.97,61.05,60
B3R3,1,8/20/2019,1143.7,Pet3G,49,53,6.92,54.38,60
B3R3,2,8/20/2019,1310.9,Pet3G,49,51.5,6.89,54.31,60
B3R3,3,8/20/2019,961,Pet3G,50,53.5,7.3,54.5,60
B1R2,1,9/3/2019,1088.7,Pet3G,66,51,9.76,73.14,60
B1R2,2,9/3/2019,1333.5,Pet3G,67,50,7.91,73.97,60
B1R2,3,9/3/2019,1084.9,Pet3G,67,52,9.47,73.34,60
B1R3,1,9/3/2019,952.1,Pet3G,49,55,7.58,54.86,60
B1R3,2,9/3/2019,956.3,Pet3G,49,52,6.73,54.64,60
B1R3,3,9/3/2109,,Pet3G,,,,,
B1R4,1,9/3/2019,875.9,Pet3G,47,51.5,6.09,52.9,60
B1R4,2,9/3/2019,901.9,Pet3G,47,50.5,5.8,52.58,60
B1R4,3,9/3/2019,731.1,Pet3G,47,52,8.66,52.04,60
B2R1,1,9/3/2019,1336.7,Pet3G,62,51,10.66,69.09,60
B2R1,2,9/3/2019,917.7,Pet3G,62,52.5,9.33,69.1,60
B2R1,3,9/3/2019,1049.9,Pet3G,62,53.5,10.6,69.07,60
B2R2,1,9/3/2019,1235,Pet3G,60,55,10.5,67.11,60
B2R2,2,9/3/2019,1167.3,Pet3G,60,58,11.08,67.33,60
B2R2,3,9/3/2019,1440.1,Pet3G,60,53,10.78,67.23,60
B2R3,1,9/3/2019,947.3,Pet3G,54,50.5,9.45,60.4,60
