Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Conc_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,con_mg_g_skin,conc_mg_g_berry_weight,con_mg_berry,treatment
11/19/2019,9/19/2019,B2R2,1,2.012,0.871,1.141,3472,58.0,51.00,0.88,3053,10.42,64.16,60,16.99,2.76,2.95,2
11/19/2019,9/19/2019,B2R2,2,2.148,0.74,1.408,4305,58.0,53.00,0.91,3934,10.23,64.18,60,22.30,3.56,3.80,2
11/19/2019,9/19/2019,B2R2,3,1.831,0.737,1.094,3325,58.0,54.50,0.94,3124,10.71,64.23,60,16.92,2.82,3.02,2
11/21/2019,8/8/2019,B2R3,1,1.219,0.253,0.966,2925,44.0,52.00,1.18,3457,5.74,47.00,60,26.50,3.24,2.54,2
11/21/2019,8/8/2019,B2R3,2,1.19,0.23,0.96,2907,44.0,51.00,1.16,3369,5.77,47.00,60,25.69,3.15,2.47,2
11/21/2019,8/8/2019,B2R3,3,1.149,0.212,0.937,2835,44.0,51.50,1.17,3318,6.30,46.90,60,23.17,3.11,2.43,2
11/19/2019,8/15/2019,B2R3,1,1.29,0.421,0.869,2622,48.0,49.00,1.02,2677,6.39,52.96,60,20.11,2.43,2.14,2
11/19/2019,8/15/2019,B2R3,2,1.175,0.364,0.811,2441,48.0,52.00,1.08,2645,6.00,53.10,60,21.16,2.39,2.12,2
11/19/2019,8/15/2019,B2R3,3,1.483,0.497,0.986,2988,48.0,51.00,1.06,3174,6.23,53.24,60,24.46,2.86,2.54,2
11/20/2019,8/20/2019,B2R3,1,1.043,0.405,0.638,1901,52.0,52.50,1.01,1920,7.74,57.54,60,12.90,1.73,1.66,2
11/20/2019,8/20/2019,B2R3,2,1.35,0.439,0.911,2754,52.0,52.00,1.00,2754,7.67,57.29,60,18.67,2.50,2.39,2
11/20/2019,8/20/2019,B2R3,3,1.295,0.468,0.827,2491,52.0,50.50,0.97,2419,6.23,57.14,60,20.19,2.20,2.10,2
11/13/2019,9/19/2019,B2R3,1,1.525,0.79,0.735,2204,52.0,53.50,1.03,2268,7.54,57.23,60,15.64,2.06,1.97,2
11/13/2019,9/19/2019,B2R3,3,1.414,0.68,0.734,2201,52.0,54.00,1.04,2286,7.31,57.06,60,16.26,2.08,1.98,2
11/14/2019,9/19/2019,B2R3,2,1.201,0.57,0.631,1879,52.0,59.00,1.13,2132,7.01,56.82,60,15.82,1.95,1.85,2
