date,block,Rep,short_name_antho,mAU,Extract_ini_vol,Extract_final_vol,dilution_factor,Skin_weight_aft,Berry_weight,Berry_numb
8/3/2020,B3R2,3,Pet3G,941.2,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,P3G,1091.7,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,M3G,4287,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,D3AG,444.1,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,C3AG,128.1,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,Pet3Ag,482,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,P3AG,582.4,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,M3AG,3006.2,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,P3CG,195.7,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,M3CG,394.6,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R3,1,D3G,1326,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,C3G,316.7,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,Pet3G,911.3,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,P3G,992,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,M3G,3820.9,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,D3AG,458.2,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,C3AG,126.9,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,Pet3Ag,498.6,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,P3AG,591.2,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,M3AG,2777.6,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,P3CG,199.1,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,1,M3CG,381.8,44,56,1.27,4.13,47.9,60
8/3/2020,B3R3,2,D3G,1242.6,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,C3G,306.9,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,Pet3G,855.1,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,P3G,941.5,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,M3G,3552.2,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,D3AG,446.8,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,C3AG,109.9,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,Pet3Ag,474.6,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,P3AG,552,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,M3AG,2610.3,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,P3CG,149.2,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,2,M3CG,301.6,44,53,1.2,3.87,47.99,60
8/3/2020,B3R3,3,D3G,1479.3,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,C3G,372.3,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,Pet3G,968.3,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,P3G,1036.6,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,M3G,3683.3,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,D3AG,524.3,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,C3AG,125.8,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,Pet3Ag,524.2,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,P3AG,605.2,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,M3AG,2705.3,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,P3CG,200.9,44,55,1.25,4.3,47.91,60
8/3/2020,B3R3,3,M3CG,350.8,44,55,1.25,4.3,47.91,60
8/13/2020,B1R1,1,D3G,1167,56,52,0.93,5.27,61.59,60
8/13/2020,B1R1,1,C3G,148.9,56,52,0.93,5.27,61.59,60
8/13/2020,B1R1,1,Pet3G,799.4,56,52,0.93,5.27,61.59,60
8/13/2020,B1R1,1,P3G,595.9,56,52,0.93,5.27,61.59,60
